tick,serveSec_client,encSec_client,decSec_client,ctlSec_client,reqMsPerToken,reqEvalMs,reqBootMs,reqEncPtMs,reqBoots,failed,storeAppends,peakVramGB,usedGB_per_dev,poolSlackGB_per_dev,poolTransientGB_per_dev
0,,,,,139727,118050,21676,0,528,False,,57.7451,0:57.75;1:57.73,0:0.01;1:0.01,0:0.00;1:0.00
1,,,,,136916,116591,20324,0,480,False,,64.7763,0:64.78;1:63.76,0:0.04;1:0.04,0:0.00;1:0.00
2,,,,,136225,115839,20385,0,480,False,,64.7763,0:64.78;1:63.76,0:0.04;1:0.04,0:0.00;1:0.00
3,,,,,135900,115443,20456,0,480,False,,64.8076,0:64.81;1:63.79,0:0.06;1:0.06,0:0.00;1:0.00
4,,,,,137035,116609,20425,0,480,False,,64.8076,0:64.81;1:63.79,0:0.06;1:0.06,0:0.00;1:0.00
5,,,,,137412,116765,20645,0,480,False,,64.8076,0:64.81;1:63.79,0:0.06;1:0.06,0:0.00;1:0.00
6,,,,,137120,116442,20677,0,480,False,,64.8388,0:64.84;1:63.82,0:0.08;1:0.08,0:0.00;1:0.00
7,,,,,137690,116894,20795,0,480,False,,64.8388,0:64.84;1:63.82,0:0.08;1:0.08,0:0.00;1:0.00
8,,,,,137048,116317,20730,0,480,False,,64.8388,0:64.84;1:63.82,0:0.08;1:0.08,0:0.00;1:0.00
9,,,,,136825,116243,20581,0,480,False,,64.8701,0:64.87;1:63.85,0:0.11;1:0.11,0:0.00;1:0.00
10,,,,,137727,116753,20973,0,480,False,,64.8701,0:64.87;1:63.85,0:0.10;1:0.10,0:0.00;1:0.00
11,,,,,137120,116250,20868,0,480,False,,64.9013,0:64.90;1:63.88,0:0.13;1:0.13,0:0.00;1:0.00
12,,,,,136964,116303,20659,0,480,False,,64.9013,0:64.90;1:63.88,0:0.13;1:0.13,0:0.00;1:0.00
13,,,,,136495,115548,20945,0,480,False,,64.9013,0:64.90;1:63.88,0:0.12;1:0.12,0:0.00;1:0.00
14,,,,,137885,117015,20869,0,480,False,,64.9326,0:64.93;1:63.91,0:0.15;1:0.15,0:0.00;1:0.00
15,,,,,137341,116543,20797,0,480,False,,64.9326,0:64.93;1:63.91,0:0.15;1:0.15,0:0.00;1:0.00
16,,,,,136926,116000,20924,0,480,False,,64.9326,0:64.93;1:63.91,0:0.15;1:0.15,0:0.00;1:0.00
17,,,,,138256,117116,21139,0,480,False,,64.9638,0:64.96;1:63.95,0:0.17;1:0.17,0:0.00;1:0.00
18,,,,,136328,115565,20762,0,480,False,,64.9638,0:64.96;1:63.95,0:0.17;1:0.17,0:0.00;1:0.00
19,,,,,136991,115937,21053,0,480,False,,64.9951,0:65.00;1:63.98,0:0.20;1:0.20,0:0.00;1:0.00
20,,,,,137592,116480,21111,0,480,False,,64.9951,0:65.00;1:63.98,0:0.19;1:0.19,0:0.00;1:0.00
21,,,,,136981,115928,21052,0,480,False,,64.9951,0:65.00;1:63.98,0:0.19;1:0.19,0:0.00;1:0.00
22,,,,,137099,115926,21173,0,480,False,,65.0263,0:65.03;1:64.01,0:0.22;1:0.22,0:0.00;1:0.00
23,,,,,137123,116007,21115,0,480,False,,65.0263,0:65.03;1:64.01,0:0.22;1:0.22,0:0.00;1:0.00
24,,,,,137577,116405,21171,0,480,False,,65.0576,0:65.06;1:64.04,0:0.24;1:0.24,0:0.00;1:0.00
25,,,,,137035,115721,21312,0,480,False,,65.0576,0:65.06;1:64.04,0:0.24;1:0.24,0:0.00;1:0.00
26,,,,,137857,116401,21455,0,480,False,,65.0576,0:65.06;1:64.04,0:0.24;1:0.24,0:0.00;1:0.00
27,,,,,138019,116659,21359,0,480,False,,65.0888,0:65.09;1:64.07,0:0.27;1:0.27,0:0.00;1:0.00
28,,,,,137902,116422,21478,0,480,False,,65.0888,0:65.09;1:64.07,0:0.26;1:0.26,0:0.00;1:0.00
29,,,,,137949,116467,21481,0,480,False,,65.0888,0:65.09;1:64.07,0:0.26;1:0.26,0:0.00;1:0.00
30,,,,,138034,116712,21321,0,480,False,,65.1201,0:65.12;1:64.10,0:0.29;1:0.29,0:0.00;1:0.00
31,,,,,137325,116113,21211,0,480,False,,65.1201,0:65.12;1:64.10,0:0.28;1:0.28,0:0.00;1:0.00
32,,,,,137777,116353,21423,0,480,False,,65.1513,0:65.15;1:64.13,0:0.31;1:0.31,0:0.00;1:0.00
33,,,,,137791,116383,21406,0,480,False,,65.1513,0:65.15;1:64.13,0:0.31;1:0.31,0:0.00;1:0.00
34,,,,,137922,116391,21529,0,480,False,,65.1513,0:65.15;1:64.13,0:0.30;1:0.30,0:0.00;1:0.00
35,,,,,137539,116078,21460,0,480,False,,65.1826,0:65.18;1:64.16,0:0.33;1:0.33,0:0.00;1:0.00
36,,,,,138011,116588,21421,0,480,False,,65.1826,0:65.18;1:64.16,0:0.33;1:0.33,0:0.00;1:0.00
37,,,,,137172,115650,21521,0,480,False,,65.1826,0:65.18;1:64.16,0:0.33;1:0.33,0:0.00;1:0.00
38,,,,,139148,117296,21851,0,480,False,,65.2138,0:65.21;1:64.20,0:0.35;1:0.35,0:0.00;1:0.00
39,,,,,137959,116393,21565,0,480,False,,65.2138,0:65.21;1:64.20,0:0.35;1:0.35,0:0.00;1:0.00
40,,,,,138305,116755,21549,0,480,False,,65.2451,0:65.25;1:64.23,0:0.38;1:0.38,0:0.00;1:0.00
41,,,,,137362,115807,21554,0,480,False,,65.2451,0:65.25;1:64.23,0:0.37;1:0.37,0:0.00;1:0.00
42,,,,,137935,116491,21443,0,480,False,,65.2451,0:65.25;1:64.23,0:0.37;1:0.37,0:0.00;1:0.00
43,,,,,138530,116759,21770,0,480,False,,65.2763,0:65.28;1:64.26,0:0.40;1:0.40,0:0.00;1:0.00
44,,,,,138475,116893,21582,0,480,False,,65.2763,0:65.28;1:64.26,0:0.40;1:0.40,0:0.00;1:0.00
