tick,lane,generating,fed,fedSrc,encArgmax,refArgmax,top1,encPick,refPick,pickAgree,refTop1Margin,relErrRms,serveSec
0,0,False,40268,prompt,1346,1346,True,,,,0.2879,0.000787,316.0
0,1,False,43062,prompt,13,13,True,,,,0.127,0.012397,316.0
0,2,False,34,prompt,15,15,True,,,,1.1036,0.001348,316.0
0,3,False,510,prompt,806,806,True,,,,0.992,0.002599,316.0
0,4,False,3039,prompt,253,253,True,,,,0.3562,0.000135,316.0
0,5,False,46995,prompt,84,84,True,,,,0.0935,0.004542,316.0
0,6,False,4041,prompt,273,273,True,,,,1.2884,0.000362,316.0
0,7,False,510,prompt,806,806,True,,,,0.992,0.000526,316.0
0,8,False,4779,prompt,2977,2977,True,,,,1.2233,0.002049,316.0
0,9,False,510,prompt,806,806,True,,,,0.992,0.001334,316.0
0,10,False,8457,prompt,253,253,True,,,,0.3268,0.001178,316.0
0,11,False,34,prompt,15,15,True,,,,1.1036,0.001351,316.0
0,12,False,50170,prompt,7779,7779,True,,,,0.5473,0.003484,316.0
0,13,False,510,prompt,806,806,True,,,,0.992,0.001124,316.0
0,14,False,3404,prompt,253,253,True,,,,1.2921,0.001045,316.0
0,15,False,46570,prompt,273,273,True,,,,0.8694,0.00207,316.0
0,16,False,32655,prompt,254,254,True,,,,2.2788,0.002726,316.0
0,17,False,3837,prompt,78,78,True,,,,0.8345,0.000833,316.0
0,18,False,1672,prompt,38695,38695,True,,,,0.3914,0.00526,316.0
0,19,False,44514,prompt,472,472,True,,,,3.3579,0.001991,316.0
0,20,False,510,prompt,806,806,True,,,,0.992,0.000395,316.0
0,21,False,1145,prompt,23389,23389,True,,,,0.3839,0.004951,316.0
0,22,False,56,prompt,15,15,True,,,,0.4699,0.003785,316.0
0,23,False,6407,prompt,13,13,True,,,,1.7341,0.000439,316.0
0,24,False,24979,prompt,27,27,True,,,,1.5562,0.000495,316.0
0,25,False,510,prompt,806,806,True,,,,0.992,0.000513,316.0
0,26,False,510,prompt,806,806,True,,,,0.992,0.000265,316.0
0,27,False,510,prompt,806,806,True,,,,0.992,0.000418,316.0
0,28,False,510,prompt,806,806,True,,,,0.992,0.000541,316.0
0,29,False,34,prompt,15,15,True,,,,1.1036,0.000908,316.0
0,30,False,8639,prompt,253,253,True,,,,0.6981,0.000192,316.0
0,31,False,34,prompt,15,15,True,,,,1.1036,0.001033,316.0
0,32,False,2214,prompt,253,253,True,,,,1.0832,0.000479,316.0
0,33,False,27121,prompt,13,13,True,,,,0.464,0.001775,316.0
0,34,False,1552,prompt,310,310,True,,,,1.6278,0.002384,316.0
0,35,False,34,prompt,15,15,True,,,,1.1036,0.002409,316.0
0,36,False,35,prompt,2345,2345,True,,,,0.1366,0.000899,316.0
0,37,False,34,prompt,15,15,True,,,,1.1036,0.00049,316.0
0,38,False,510,prompt,806,806,True,,,,0.992,0.001318,316.0
0,39,False,510,prompt,806,806,True,,,,0.992,0.002208,316.0
0,40,False,7673,prompt,1491,1491,True,,,,0.3738,0.000588,316.0
0,41,False,1552,prompt,310,310,True,,,,1.6278,0.000488,316.0
0,42,False,37,prompt,15,15,True,,,,1.5464,0.006249,316.0
0,43,False,46,prompt,15,15,True,,,,0.1072,0.006885,316.0
0,44,False,510,prompt,806,806,True,,,,0.992,0.00129,316.0
