tick,lane,generating,fed,fedSrc,encArgmax,refArgmax,top1,encPick,refPick,pickAgree,refTop1Margin,relErrRms,serveSec
0,0,False,510,prompt,806,806,True,806,806,True,0.992,0.000432,316.0
0,1,False,4241,prompt,422,422,True,422,422,True,1.3242,0.001732,316.0
0,2,False,6067,prompt,806,806,True,806,806,True,0.5026,0.00067,316.0
0,3,False,510,prompt,806,806,True,806,806,True,0.992,0.001204,316.0
0,4,False,35,prompt,2345,2345,True,2345,2345,True,0.1366,0.000842,316.0
0,5,False,34,prompt,15,15,True,15,15,True,1.1036,0.001039,316.0
0,6,False,8267,prompt,673,673,True,673,673,True,0.2343,0.000648,316.0
0,7,False,3594,prompt,584,584,True,584,584,True,0.6062,0.000952,316.0
0,8,False,8267,prompt,673,673,True,673,673,True,0.2343,0.000744,316.0
0,9,False,6052,prompt,630,630,True,630,630,True,0.0909,0.003362,316.0
0,10,False,2512,prompt,403,403,True,403,403,True,0.2285,0.000798,316.0
0,11,False,2946,prompt,2943,2943,True,2943,2943,True,1.5853,0.00449,316.0
0,12,False,34,prompt,15,15,True,15,15,True,1.1036,0.000752,316.0
0,13,False,47141,prompt,4978,4978,True,4978,4978,True,2.3195,0.001446,316.0
0,14,False,56,prompt,15,15,True,15,15,True,0.4699,0.002164,316.0
0,15,False,510,prompt,806,806,True,806,806,True,0.992,0.00061,316.0
0,16,False,16929,prompt,57,57,True,57,57,True,0.0718,0.000432,316.0
0,17,False,18658,prompt,264,264,True,264,264,True,0.5067,0.00085,316.0
0,18,False,510,prompt,806,806,True,806,806,True,0.992,0.000807,316.0
0,19,False,34,prompt,15,15,True,15,15,True,1.1036,0.000798,316.0
0,20,False,34,prompt,15,15,True,15,15,True,1.1036,0.000292,316.0
0,21,False,8267,prompt,673,673,True,673,673,True,0.2343,0.000956,316.0
0,22,False,688,prompt,253,253,True,253,253,True,1.277,0.000209,316.0
0,23,False,18,prompt,15,15,True,15,15,True,0.5065,0.001109,316.0
0,24,False,2598,prompt,13,13,True,13,13,True,1.157,0.000584,316.0
0,25,False,39,prompt,15,15,True,15,15,True,0.6713,0.000974,316.0
0,26,False,7542,prompt,253,253,True,253,253,True,1.7525,0.001355,316.0
0,27,False,10252,prompt,5504,5504,True,5504,5504,True,0.5879,0.000887,316.0
0,28,False,510,prompt,806,806,True,806,806,True,0.992,0.000319,316.0
0,29,False,46061,prompt,7779,7779,True,7779,7779,True,0.7351,0.0008,316.0
0,30,False,510,prompt,806,806,True,806,806,True,0.992,0.00024,316.0
0,31,False,510,prompt,806,806,True,806,806,True,0.992,0.000589,316.0
0,32,False,24979,prompt,27,27,True,27,27,True,1.5562,0.001853,316.0
0,33,False,688,prompt,253,253,True,253,253,True,1.277,0.001095,316.0
