tick,wall_layer_loop_s,driver_request_to_reply_s,boots,eval_ms,boot_ms,norm_boot_ms,timer_sum_ms_NOT_A_WALL_CLOCK,recorder_ms,enc_pt_ms,pt_cache_calls,pt_cache_misses,gpu0_pool_used_gb,gpu0_pool_reserved_gb,gpu0_device_used_gb,gpu1_pool_used_gb,gpu1_pool_reserved_gb,gpu1_device_used_gb,lanes,generating_lanes,raw_top1_agree,pick_agree,relerr_rms_median,relerr_rms_p90,relerr_rms_max,bootstraps_recorded,max_overflow_in_tick,bootstraps_over_512_in_tick
0,201.911,316.0,577,124313,84512,43885,208826,3576,0,4416,1140,67.0244,67.0312,68.7451,66.0244,66.0312,67.7271,64,0,64,64,0.000798,0.002201,0.00449,529,498,0
1,175.775,188.0,529,119131,83733,44989,202865,3310,0,2622,4,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,0,64,64,0.0009595000000000001,0.002195,0.006332,481,483,0
2,175.997,188.0,529,119427,83632,44936,203060,3291,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,8,64,64,0.0008049999999999999,0.002099,0.003704,481,491,0
3,176.033,188.0,529,119431,83672,44933,203104,3274,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,9,64,64,0.001125,0.002434,0.004379,481,457,0
4,175.844,188.0,529,119280,83651,44938,202933,3287,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,9,64,64,0.0010855,0.003366,0.00607,481,511,0
5,175.658,188.0,529,119082,83649,44969,202732,3278,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,10,64,64,0.0012794999999999998,0.003917,0.006285,481,496,0
6,176.122,188.0,529,119542,83661,44954,203204,3291,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,14,64,64,0.001085,0.002603,0.005342,481,492,0
7,176.167,188.0,529,119627,83586,44975,203214,3301,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,16,64,64,0.000982,0.002677,0.005316,481,477,0
8,175.406,188.0,529,118917,83627,44933,202544,3214,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,20,64,64,0.0011034999999999999,0.002408,0.006676,481,506,0
9,176.27,188.0,529,119650,83691,44927,203342,3299,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,25,64,64,0.0012304999999999998,0.00288,0.005326,481,486,0
10,175.938,188.0,529,119374,83669,44938,203044,3269,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,29,64,64,0.001355,0.002929,0.00575,481,494,0
11,175.204,188.0,529,118713,83504,44921,202217,3157,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,29,64,64,0.001275,0.003345,0.006015,481,475,0
12,175.858,188.0,529,119337,83515,44925,202852,3270,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,31,64,64,0.0015015,0.004037,0.006755,481,473,0
13,175.496,188.0,529,118866,83674,44930,202541,3309,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,31,64,64,0.0014125000000000001,0.002903,0.010607,481,507,0
14,175.653,188.0,529,119087,83750,44982,202838,3245,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.001054,0.003081,0.00468,481,487,0
15,175.491,188.0,529,119019,83574,44945,202594,3238,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0013695,0.003253,0.005686,481,472,0
16,175.584,188.0,529,119026,83567,44920,202594,3265,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,63,0.0014889999999999999,0.004092,0.009008,481,471,0
17,176.186,188.0,529,119590,83699,44992,203291,3314,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0020134999999999997,0.004184,0.011919,481,496,0
18,176.092,188.0,529,119499,83770,44996,203270,3306,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0013930000000000001,0.003587,0.006581,481,482,0
19,176.354,188.0,529,119780,83659,44973,203441,3318,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0013525,0.003294,0.004738,481,476,0
20,176.418,188.0,529,119810,83733,44978,203544,3349,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0012664999999999998,0.002804,0.005259,481,519,1
21,176.287,188.0,529,119650,83823,45030,203474,3326,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.001487,0.003335,0.010297,481,507,0
22,176.101,188.0,529,119540,83726,44981,203267,3315,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,63,0.001268,0.003065,0.006046,481,499,0
23,175.858,188.0,529,119221,83681,44959,202903,3314,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.001601,0.002972,0.004667,481,484,0
24,175.959,188.0,529,119387,83678,44972,203066,3292,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0016150000000000001,0.004214,0.006485,481,466,0
25,176.196,188.0,529,119567,83693,44954,203261,3316,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,63,64,0.0014605,0.004723,0.009592,481,469,0
26,175.628,188.0,529,119110,83559,44881,202670,3206,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,62,62,0.001661,0.005117,0.008112,481,500,0
27,175.326,188.0,529,118829,83485,44861,202315,3168,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0015785,0.003452,0.005171,481,471,0
28,175.004,188.0,529,118551,83357,44863,201910,3102,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,63,64,0.0014285,0.003793,0.008921,481,484,0
29,175.403,188.0,529,118846,83614,44995,202461,3259,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0019349999999999999,0.004393,0.012479,481,476,0
30,175.853,188.0,529,119291,83688,44959,202981,3282,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0014655,0.005615,0.01056,481,488,0
31,175.766,188.0,529,119184,83691,45001,202875,3305,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,64,0.0014594999999999999,0.004547,0.012965,481,482,0
32,175.295,188.0,529,118767,83560,44933,202328,3238,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,32,64,63,0.001601,0.00459,0.008084,481,488,0
33,175.156,188.0,529,118654,83437,44885,202092,3214,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,33,64,63,0.001637,0.005958,0.007587,481,480,0
34,175.486,188.0,529,118887,83731,44932,202619,3256,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,33,64,64,0.001859,0.003871,0.011943,481,461,0
35,175.976,188.0,529,119410,83649,44941,203060,3256,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,35,64,64,0.0013075,0.004253,0.01746,481,467,0
36,175.968,188.0,529,119441,83624,44953,203066,3246,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,38,64,64,0.001359,0.003628,0.012082,481,508,0
37,175.46,188.0,529,118882,83568,44884,202451,3241,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,38,64,64,0.00148,0.005333,0.01111,481,491,0
38,175.686,188.0,529,119158,83614,44965,202774,3240,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,39,64,64,0.001506,0.003871,0.010328,481,500,0
39,175.895,188.0,529,119347,83686,44978,203034,3252,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,41,64,64,0.0015455,0.00474,0.009843,481,479,0
