utc,pid,serve_dir,served,vmrss_kb,vmhwm_kb,rssanon_kb,mappings,gpu0_used_mib,gpu1_used_mib
14:40:53Z,173921,/root/demo/s37/serve_LONG/serve,0,98724824,98726360,98516220,1191,39377,39359
14:47:53Z,174599,/root/demo/s37/serve_LONG/serve,0,85721756,86469816,85511088,1207,12753,12735
14:48:53Z,174599,/root/demo/s37/serve_LONG/serve,0,158769148,158770200,158316304,1298,48875,48857
14:49:53Z,174599,/root/demo/s37/serve_LONG/serve,0,166069056,166069056,165602900,1267,61179,61161
14:50:53Z,174599,/root/demo/s37/serve_LONG/serve,0,171479012,171479012,171020024,1267,65275,64233
14:51:53Z,174599,/root/demo/s37/serve_LONG/serve,0,176633804,176636464,176167648,1267,68347,67305
14:52:54Z,174599,/root/demo/s37/serve_LONG/serve,1,179860672,179860672,179394516,1267,70395,69353
14:53:54Z,174599,/root/demo/s37/serve_LONG/serve,1,179860672,179860672,179394516,1267,72443,71401
14:54:54Z,174599,/root/demo/s37/serve_LONG/serve,1,179860672,179860672,179394516,1267,74491,73449
14:55:54Z,174599,/root/demo/s37/serve_LONG/serve,2,179861696,179861696,179395540,1267,76539,75497
14:56:54Z,174599,/root/demo/s37/serve_LONG/serve,2,179861696,179861696,179395540,1267,76539,75497
14:57:54Z,174599,/root/demo/s37/serve_LONG/serve,2,179861696,179861696,179395540,1267,76539,75497
14:58:54Z,174599,/root/demo/s37/serve_LONG/serve,2,179861696,179861696,179395540,1267,76539,75497
14:59:54Z,174599,/root/demo/s37/serve_LONG/serve,3,179861696,179861696,179395540,1267,76539,75497
15:00:54Z,174599,/root/demo/s37/serve_LONG/serve,3,179861696,179861696,179395540,1267,76539,75497
15:01:54Z,174599,/root/demo/s37/serve_LONG/serve,3,179861696,179861696,179395540,1267,76539,75497
15:02:54Z,174599,/root/demo/s37/serve_LONG/serve,4,179861696,179861696,179395540,1267,76539,75497
15:03:54Z,174599,/root/demo/s37/serve_LONG/serve,4,179861696,179861696,179395540,1267,76539,75497
15:04:54Z,174599,/root/demo/s37/serve_LONG/serve,4,179861696,179861696,179395540,1267,76539,75497
15:05:54Z,174599,/root/demo/s37/serve_LONG/serve,5,179861696,179861696,179395540,1267,76539,75497
15:06:54Z,174599,/root/demo/s37/serve_LONG/serve,5,179861696,179861696,179395540,1267,76539,75497
15:07:54Z,174599,/root/demo/s37/serve_LONG/serve,5,179861696,179861696,179395540,1267,76539,75497
15:08:54Z,174599,/root/demo/s37/serve_LONG/serve,6,179861696,179861696,179395540,1267,77115,76072
15:09:54Z,174599,/root/demo/s37/serve_LONG/serve,6,179861696,179861696,179395540,1267,76539,75497
15:10:54Z,174599,/root/demo/s37/serve_LONG/serve,6,179861696,179861696,179395540,1267,76539,75497
