timestamp, index, power.draw [W], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], memory.used [MiB]
2026/09/19 23:33:37.430, 0, 59.94, 0, 53, 180, 58441
2026/09/19 23:33:37.437, 1, 31.30, 0, 54, 180, 58423
2026/09/19 23:33:38.443, 0, 59.94, 0, 53, 180, 58441
2026/09/19 23:33:38.443, 1, 31.30, 0, 53, 180, 58423
2026/09/19 23:33:39.443, 0, 41.70, 91, 52, 180, 39
2026/09/19 23:33:39.561, 1, 20.74, 0, 53, 180, 21
2026/09/19 23:33:40.563, 0, 121.73, 0, 54, 2850, 39
2026/09/19 23:33:40.564, 1, 73.84, 0, 54, 2857, 21
2026/09/19 23:33:41.564, 0, 116.53, 0, 53, 1987, 39
2026/09/19 23:33:41.564, 1, 109.52, 0, 54, 2865, 21
2026/09/19 23:33:42.564, 0, 75.30, 0, 52, 382, 39
2026/09/19 23:33:42.564, 1, 103.01, 0, 54, 2865, 21
2026/09/19 23:33:43.564, 0, 74.25, 0, 52, 382, 39
2026/09/19 23:33:43.564, 1, 57.06, 0, 53, 412, 21
2026/09/19 23:33:44.565, 0, 58.92, 0, 51, 180, 39
2026/09/19 23:33:44.565, 1, 56.76, 0, 53, 262, 21
2026/09/19 23:33:45.565, 0, 48.44, 0, 51, 180, 39
2026/09/19 23:33:45.565, 1, 52.16, 0, 52, 180, 21
2026/09/19 23:33:46.565, 0, 37.35, 0, 51, 180, 39
2026/09/19 23:33:46.565, 1, 36.24, 0, 52, 180, 21
2026/09/19 23:33:47.566, 0, 74.10, 0, 52, 2610, 1193
2026/09/19 23:33:47.566, 1, 25.81, 3, 53, 180, 1174
2026/09/19 23:33:48.566, 0, 101.46, 0, 52, 2610, 1193
2026/09/19 23:33:48.566, 1, 85.87, 0, 53, 2610, 1174
2026/09/19 23:33:49.566, 0, 99.80, 0, 52, 2610, 1193
2026/09/19 23:33:49.566, 1, 84.92, 0, 53, 2610, 1174
2026/09/19 23:33:50.570, 0, 100.53, 0, 51, 2610, 617
2026/09/19 23:33:50.570, 1, 85.88, 0, 53, 2610, 599
2026/09/19 23:33:51.570, 0, 100.63, 0, 51, 2610, 617
2026/09/19 23:33:51.570, 1, 85.77, 0, 53, 2610, 599
2026/09/19 23:33:52.570, 0, 99.55, 0, 51, 2610, 617
2026/09/19 23:33:52.570, 1, 84.32, 0, 52, 2610, 599
2026/09/19 23:33:53.570, 0, 99.46, 0, 51, 2610, 617
2026/09/19 23:33:53.570, 1, 83.91, 0, 52, 2610, 599
2026/09/19 23:33:54.570, 0, 99.32, 0, 51, 2610, 617
2026/09/19 23:33:54.571, 1, 83.75, 0, 52, 2610, 599
2026/09/19 23:33:55.571, 0, 99.24, 0, 51, 2610, 617
2026/09/19 23:33:55.571, 1, 83.46, 0, 52, 2610, 599
2026/09/19 23:33:56.571, 0, 99.19, 0, 51, 2610, 617
2026/09/19 23:33:56.571, 1, 83.41, 0, 52, 2610, 599
2026/09/19 23:33:57.571, 0, 99.23, 0, 51, 2610, 617
2026/09/19 23:33:57.571, 1, 83.50, 0, 52, 2610, 599
2026/09/19 23:33:58.571, 0, 99.16, 0, 51, 2610, 617
2026/09/19 23:33:58.571, 1, 83.44, 0, 52, 2610, 599
2026/09/19 23:33:59.572, 0, 99.11, 0, 51, 2610, 617
2026/09/19 23:33:59.572, 1, 83.24, 0, 52, 2610, 599
2026/09/19 23:34:00.572, 0, 99.13, 0, 51, 2610, 617
2026/09/19 23:34:00.572, 1, 83.36, 0, 52, 2610, 599
2026/09/19 23:34:01.572, 0, 99.93, 0, 51, 2610, 617
2026/09/19 23:34:01.572, 1, 83.07, 0, 52, 2610, 599
2026/09/19 23:34:02.572, 0, 99.08, 0, 51, 2610, 617
2026/09/19 23:34:02.573, 1, 83.19, 0, 52, 2610, 599
2026/09/19 23:34:03.573, 0, 99.09, 0, 51, 2610, 617
2026/09/19 23:34:03.573, 1, 83.39, 0, 52, 2610, 599
2026/09/19 23:34:04.573, 0, 99.01, 0, 50, 2610, 617
2026/09/19 23:34:04.573, 1, 83.27, 0, 52, 2610, 599
2026/09/19 23:34:05.573, 0, 90.34, 0, 50, 457, 617
2026/09/19 23:34:05.573, 1, 59.11, 0, 51, 390, 599
2026/09/19 23:34:06.573, 0, 69.57, 0, 49, 285, 617
2026/09/19 23:34:06.574, 1, 54.23, 0, 51, 240, 599
2026/09/19 23:34:07.574, 0, 60.39, 0, 49, 195, 617
2026/09/19 23:34:07.574, 1, 42.48, 0, 50, 180, 599
2026/09/19 23:34:08.574, 0, 48.77, 0, 49, 180, 617
2026/09/19 23:34:08.574, 1, 18.04, 0, 50, 180, 599
2026/09/19 23:34:09.574, 0, 36.82, 0, 49, 180, 627
2026/09/19 23:34:09.576, 1, 17.36, 0, 50, 180, 599
2026/09/19 23:34:10.576, 0, 75.93, 3, 50, 2617, 2513
2026/09/19 23:34:10.576, 1, 42.23, 0, 51, 180, 2495
2026/09/19 23:34:11.576, 0, 100.36, 3, 50, 2617, 4561
2026/09/19 23:34:11.576, 1, 84.74, 3, 51, 2617, 4543
2026/09/19 23:34:12.576, 0, 100.26, 3, 50, 2617, 5585
2026/09/19 23:34:12.576, 1, 85.17, 3, 51, 2617, 5567
2026/09/19 23:34:13.576, 0, 100.32, 4, 50, 2617, 7633
2026/09/19 23:34:13.577, 1, 85.12, 3, 51, 2617, 7615
2026/09/19 23:34:14.577, 0, 100.17, 3, 50, 2617, 9681
2026/09/19 23:34:14.577, 1, 85.12, 3, 51, 2617, 9663
2026/09/19 23:34:15.577, 0, 100.10, 3, 50, 2617, 10705
2026/09/19 23:34:15.577, 1, 84.83, 3, 51, 2617, 10687
2026/09/19 23:34:16.577, 0, 100.19, 3, 50, 2617, 12753
2026/09/19 23:34:16.577, 1, 84.95, 3, 51, 2617, 12735
2026/09/19 23:34:17.577, 0, 100.05, 3, 50, 2617, 13777
2026/09/19 23:34:17.578, 1, 84.69, 3, 51, 2617, 13759
2026/09/19 23:34:18.578, 0, 102.00, 4, 50, 2640, 16849
2026/09/19 23:34:18.578, 1, 85.78, 4, 51, 2640, 16831
2026/09/19 23:34:19.578, 0, 102.49, 4, 50, 2640, 18897
2026/09/19 23:34:19.578, 1, 87.42, 4, 51, 2640, 18879
2026/09/19 23:34:20.578, 0, 102.35, 4, 50, 2640, 20945
2026/09/19 23:34:20.578, 1, 86.96, 4, 51, 2640, 20927
2026/09/19 23:34:21.579, 0, 102.57, 5, 50, 2647, 22993
2026/09/19 23:34:21.579, 1, 86.91, 4, 51, 2640, 22975
2026/09/19 23:34:22.579, 0, 103.67, 5, 50, 2655, 26065
2026/09/19 23:34:22.579, 1, 88.11, 4, 51, 2655, 25023
2026/09/19 23:34:23.579, 0, 103.65, 3, 50, 2662, 28113
2026/09/19 23:34:23.579, 1, 87.91, 5, 51, 2655, 28095
2026/09/19 23:34:24.579, 0, 100.30, 3, 50, 2617, 29137
2026/09/19 23:34:24.579, 1, 85.24, 3, 50, 2617, 29119
2026/09/19 23:34:25.579, 0, 99.98, 3, 50, 2617, 31185
2026/09/19 23:34:25.580, 1, 84.05, 3, 50, 2617, 31167
2026/09/19 23:34:26.580, 0, 100.08, 3, 50, 2617, 33233
2026/09/19 23:34:26.580, 1, 84.40, 3, 50, 2617, 32191
2026/09/19 23:34:27.580, 0, 99.97, 3, 49, 2617, 34257
2026/09/19 23:34:27.580, 1, 84.43, 3, 50, 2617, 34239
2026/09/19 23:34:28.580, 0, 100.21, 3, 50, 2617, 36305
2026/09/19 23:34:28.580, 1, 84.12, 3, 50, 2617, 35263
2026/09/19 23:34:29.580, 0, 100.04, 3, 50, 2617, 37329
2026/09/19 23:34:29.581, 1, 84.36, 3, 50, 2617, 37311
2026/09/19 23:34:30.581, 0, 99.99, 3, 49, 2617, 39377
2026/09/19 23:34:30.581, 1, 84.38, 3, 50, 2617, 39359
2026/09/19 23:34:31.581, 0, 99.42, 0, 49, 2610, 39377
2026/09/19 23:34:31.581, 1, 83.41, 0, 50, 2610, 39359
2026/09/19 23:34:32.581, 0, 99.26, 0, 49, 2610, 39377
2026/09/19 23:34:32.581, 1, 82.54, 0, 50, 2610, 39359
2026/09/19 23:34:33.581, 0, 98.77, 0, 49, 2610, 39377
2026/09/19 23:34:33.582, 1, 81.52, 0, 50, 2610, 39359
2026/09/19 23:34:34.582, 0, 98.67, 0, 49, 2610, 39377
2026/09/19 23:34:34.582, 1, 81.40, 0, 50, 2610, 39359
2026/09/19 23:34:35.582, 0, 98.65, 0, 49, 2610, 39377
2026/09/19 23:34:35.582, 1, 81.61, 0, 50, 2610, 39359
2026/09/19 23:34:36.582, 0, 98.62, 0, 49, 2610, 39377
2026/09/19 23:34:36.582, 1, 81.68, 0, 50, 2610, 39359
2026/09/19 23:34:37.582, 0, 98.62, 0, 49, 2610, 39377
2026/09/19 23:34:37.583, 1, 81.95, 0, 50, 2610, 39359
2026/09/19 23:34:38.583, 0, 98.36, 0, 49, 2610, 39377
2026/09/19 23:34:38.583, 1, 81.82, 0, 50, 2610, 39359
2026/09/19 23:34:39.583, 0, 98.36, 0, 49, 2610, 39377
2026/09/19 23:34:39.583, 1, 82.06, 0, 50, 2610, 39359
2026/09/19 23:34:40.583, 0, 98.39, 0, 49, 2610, 39377
2026/09/19 23:34:40.583, 1, 82.28, 0, 50, 2610, 39359
2026/09/19 23:34:41.583, 0, 98.53, 0, 49, 2610, 39377
2026/09/19 23:34:41.584, 1, 82.07, 0, 50, 2610, 39359
2026/09/19 23:34:42.584, 0, 98.42, 0, 49, 2610, 39377
2026/09/19 23:34:42.584, 1, 81.71, 0, 50, 2610, 39359
2026/09/19 23:34:43.584, 0, 98.35, 0, 49, 2610, 39377
