tick,serveSec_client,encSec_client,decSec_client,ctlSec_client,reqMsPerToken,reqEvalMs,reqBootMs,reqEncPtMs,reqBoots,failed,storeAppends,peakVramGB,usedGB_per_dev,poolSlackGB_per_dev,poolTransientGB_per_dev
0,306.51106786727905,0.9063880443572998,1.2040319442749023,56.299,139422,117700,21721,0,528,False,,57.745,0:57.74;1:57.73,0:0.01;1:0.01,0:0.00;1:0.00
1,243.5018789768219,0.9260818958282471,1.0526258945465088,51.409,136437,116183,20252,0,480,False,,64.7762,0:64.78;1:63.76,0:0.04;1:0.04,0:0.00;1:0.00
2,248.2429690361023,0.8831949234008789,1.2073960304260254,55.786,137074,116508,20566,0,480,False,,64.7762,0:64.78;1:63.76,0:0.04;1:0.04,0:0.00;1:0.00
3,268.47399616241455,0.9015719890594482,1.1813921928405762,76.17,136852,116282,20570,0,480,False,,64.8075,0:64.81;1:63.79,0:0.06;1:0.06,0:0.00;1:0.00
4,269.32395005226135,0.8901398181915283,1.24367094039917,77.762,135965,115495,20469,0,480,False,,64.8075,0:64.81;1:63.79,0:0.06;1:0.06,0:0.00;1:0.00
5,271.061891078949,0.8837308883666992,0.8636808395385742,78.88,136716,116221,20494,0,480,False,,64.8075,0:64.81;1:63.79,0:0.06;1:0.06,0:0.00;1:0.00
6,260.6704030036926,0.8614308834075928,1.2445290088653564,68.522,137121,116469,20651,0,480,False,,64.8387,0:64.84;1:63.82,0:0.08;1:0.08,0:0.00;1:0.00
7,260.3035819530487,0.9002492427825928,1.1218781471252441,67.899,137386,116491,20895,0,480,False,,64.8387,0:64.84;1:63.82,0:0.08;1:0.08,0:0.00;1:0.00
8,264.65373516082764,0.9051971435546875,1.094170093536377,72.826,136692,116080,20610,0,480,False,,64.8387,0:64.84;1:63.82,0:0.08;1:0.08,0:0.00;1:0.00
9,254.965656042099,0.9450843334197998,1.0397429466247559,63.657,135803,115281,20521,0,480,False,,64.87,0:64.87;1:63.85,0:0.11;1:0.11,0:0.00;1:0.00
10,264.8276309967041,0.8703889846801758,1.2107200622558594,72.735,136946,116194,20751,0,480,False,,64.87,0:64.87;1:63.85,0:0.10;1:0.10,0:0.00;1:0.00
11,265.7748701572418,0.8946733474731445,1.1529009342193604,74.103,136839,115903,20935,0,480,False,,64.9012,0:64.90;1:63.88,0:0.13;1:0.13,0:0.00;1:0.00
12,260.23015093803406,0.9261248111724854,1.1632378101348877,67.325,138087,117111,20975,0,480,False,,64.9012,0:64.90;1:63.88,0:0.13;1:0.13,0:0.00;1:0.00
13,271.79199409484863,0.916691780090332,1.1259710788726807,79.719,137271,116184,21085,0,480,False,,64.9012,0:64.90;1:63.88,0:0.12;1:0.12,0:0.00;1:0.00
14,266.5396819114685,0.8954732418060303,1.1330969333648682,73.233,138229,117204,21025,0,480,False,,64.9325,0:64.93;1:63.91,0:0.15;1:0.15,0:0.00;1:0.00
15,264.213495016098,0.9313898086547852,1.1411800384521484,71.775,137563,116428,21134,0,480,False,,64.9325,0:64.93;1:63.91,0:0.15;1:0.15,0:0.00;1:0.00
16,286.8487448692322,0.8981280326843262,1.1384861469268799,176.878,136179,115284,20894,0,480,False,,64.9325,0:64.93;1:63.91,0:0.15;1:0.15,0:0.00;1:0.00
17,245.67827892303467,0.9253029823303223,1.2215120792388916,54.012,136904,115818,21084,0,480,False,,64.9637,0:64.96;1:63.95,0:0.17;1:0.17,0:0.00;1:0.00
